,RAIN2,TEMP,DEWPOINT,RELHUMIDITY,SEALVLPRS,WINDSPEED,DIRECTION,TLTCLOUD,VISIBILITY,RAIN
2019-01-01 00:00:00,0.0,5.888888888888889,3.966666666666667,87.89740740740743,642.5,0.11481481481481481,18.14814814814815,7.0,1396.2962962962963,0
2019-01-01 03:00:00,0.0,6.128858024691358,4.24542181069959,84.94786522633746,642.4240740740742,0.1814814814814815,20.27777777777778,11.542695473251028,1402.44341563786,0
2019-01-01 06:00:00,0.0,6.368827160493827,4.5241769547325115,85.15647119341564,642.3481481481481,0.24814814814814812,22.40740740740741,16.085390946502056,1408.5905349794239,0
2019-01-01 09:00:00,0.0,6.608796296296297,4.8029320987654325,85.36507716049384,642.2722222222221,0.3148148148148148,24.537037037037038,20.62808641975309,1414.7376543209878,0
2019-01-01 12:00:00,0.0,6.848765432098765,5.0816872427983535,85.57368312757201,642.1962962962963,0.38148148148148153,26.666666666666668,25.170781893004115,1420.8847736625514,0
2019-01-01 15:00:00,0.0,7.088734567901234,5.360442386831277,85.78228909465021,642.1203703703703,0.44814814814814813,28.796296296296298,29.713477366255145,1427.031893004115,0
2019-01-01 18:00:00,0.0,7.328703703703703,5.639197530864198,85.99089506172841,642.0444444444445,0.5148148148148148,30.925925925925927,34.25617283950618,1433.1790123456792,0
2019-01-01 21:00:00,0.0,7.568672839506172,5.917952674897118,86.19950102880658,641.9685185185184,0.5814814814814815,33.05555555555556,38.7988683127572,1439.3261316872429,0
2019-01-02 00:00:00,0.014814814814814815,7.808641975308642,6.196707818930043,89.59255144032923,641.8925925925926,0.6481481481481481,35.18518518518518,43.34156378600823,1445.4732510288068,0
2019-01-02 03:00:00,0.007407407407407408,7.444444444444445,5.98888888888889,90.70555555555555,642.9703703703703,0.22962962962962963,11.851851851851851,32.55555555555556,1558.5185185185185,0
2019-01-02 06:00:00,0.0,12.981481481481481,7.853703703703703,71.25722222222221,643.1629629629629,0.6074074074074074,65.18518518518519,19.75925925925926,2500.5555555555557,0
2019-01-02 09:00:00,0.0,18.24074074074074,8.814814814814813,55.03555555555555,642.774074074074,0.774074074074074,91.11111111111111,8.37037037037037,3500.0,0
2019-01-02 12:00:00,0.0,17.444444444444443,10.08148148148148,63.12222222222223,642.5555555555555,0.22962962962962963,21.85185185185185,11.148148148148149,3129.6296296296296,0
2019-01-02 15:00:00,0.0,12.074074074074074,8.75185185185185,80.58740740740741,643.4925925925925,0.09259259259259259,20.0,0.48148148148148145,2074.074074074074,0
2019-01-02 18:00:00,0.0,9.537037037037036,7.08888888888889,84.85333333333334,644.088888888889,0.28518518518518515,37.407407407407405,0.0,1851.851851851852,0
2019-01-02 21:00:00,0.0,7.7407407407407405,6.02037037037037,89.03,643.925925925926,0.22592592592592592,28.51851851851852,4.185185185185185,1432.5925925925926,0
2019-01-03 00:00:00,0.0,6.222222222222222,4.715637860082305,90.42539094650208,643.7621399176954,0.2975308641975309,27.20164609053498,6.277777777777778,1191.522633744856,0
2019-01-03 03:00:00,0.0,6.2592592592592595,4.901646090534979,91.43189300411522,644.7131687242799,0.19876543209876546,16.625514403292183,19.51851851851852,1307.1193415637858,0
2019-01-03 06:00:00,0.0,12.50925925925926,7.120987654320988,71.80006172839505,645.3049382716049,0.6351851851851853,86.9753086419753,16.5,2569.5679012345677,0
2019-01-03 09:00:00,0.0,17.712962962962962,8.056995884773663,55.289526748971184,643.5152263374486,1.0567901234567902,147.13991769547326,18.61111111111111,4010.9053497942386,0
2019-01-03 12:00:00,0.0,17.333333333333332,8.715226337448561,57.97473251028806,642.7440329218107,0.5580246913580247,76.0082304526749,24.185185185185187,4175.390946502058,0
2019-01-03 15:00:00,0.0,12.314814814814815,8.034567901234565,75.54160493827158,643.3543209876544,0.22592592592592592,40.24691358024692,6.074074074074074,2969.5061728395062,0
2019-01-03 18:00:00,0.0,10.12962962962963,7.072427983539094,81.72255144032923,643.8349794238683,0.2604938271604938,25.96707818930041,2.3333333333333335,2430.2880658436216,0
2019-01-03 21:00:00,0.0,8.175925925925926,5.736213991769547,85.03646090534978,643.1045267489712,0.33209876543209876,33.90946502057613,10.222222222222221,2263.292181069959,0
